x_disp y_disp pe
12.756 15.555 -12993.3026995232
12.756 18.1475 -12299.4212255942
12.756 20.74 -12993.3026995232
12.756 23.3325 -12299.4212255943
12.756 25.925 -12993.3026995232
12.756 28.5175 -12299.4212255943
12.756 31.11 -12993.3026995232
12.756 33.7025 -12299.4212255943
12.756 36.295 -12993.3026995232
12.756 38.8875 -12299.4212255943
12.756 41.48 -12993.3026995232
12.756 44.0725 -12299.4212255942
12.756 46.665 -12993.3026995232
12.756 49.2575 -12299.4212255942
14.3505 0 -12599.8228078528
14.3505 2.5925 -12007.0727300498
14.3505 5.185 -12599.8228078528
14.3505 7.7775 -12007.0727300498
14.3505 10.37 -12599.8228078528
14.3505 12.9625 -12007.0727300498
14.3505 15.555 -12599.8228078529
14.3505 18.1475 -12007.0727300498
14.3505 20.74 -12599.8228078529
14.3505 23.3325 -12007.0727300498
14.3505 25.925 -12599.8228078529
14.3505 28.5175 -12007.0727300498
14.3505 31.11 -12599.8228078529
14.3505 33.7025 -12007.0727300498
14.3505 36.295 -12599.8228078529
14.3505 38.8875 -12007.0727300498
14.3505 41.48 -12599.8228078529
14.3505 44.0725 -12007.0727300498
14.3505 46.665 -12599.8228078528
14.3505 49.2575 -12007.0727300498
15.945 0 -12993.3026995232
15.945 2.5925 -12299.4212255942
15.945 5.185 -12993.3026995232
15.945 7.7775 -12299.4212255942
15.945 10.37 -12993.3026995232
15.945 12.9625 -12299.4212255942
15.945 15.555 -12993.3026995232
15.945 18.1475 -12299.4212255943
15.945 20.74 -12993.3026995232
15.945 23.3325 -12299.4212255943
15.945 25.925 -12993.3026995232
15.945 28.5175 -12299.4212255943
15.945 31.11 -12993.3026995232
15.945 33.7025 -12299.4212255943
15.945 36.295 -12993.3026995232
15.945 38.8875 -12299.4212255943
15.945 41.48 -12993.3026995232
15.945 44.0725 -12299.4212255943
15.945 46.665 -12993.3026995232
15.945 49.2575 -12299.4212255943
17.5395 0 -12599.8228078529
17.5395 2.5925 -12007.0727300498
17.5395 5.185 -12599.8228078528
17.5395 7.7775 -12007.0727300498
17.5395 10.37 -12599.8228078529
17.5395 12.9625 -12007.0727300498
17.5395 15.555 -12599.8228078529
17.5395 18.1475 -12007.0727300498
17.5395 20.74 -12599.8228078529
17.5395 23.3325 -12007.0727300498
17.5395 25.925 -12599.8228078529
17.5395 28.5175 -12007.0727300498
17.5395 31.11 -12599.8228078529
17.5395 33.7025 -12007.0727300498
17.5395 36.295 -12599.8228078529
17.5395 38.8875 -12007.0727300498
17.5395 41.48 -12599.8228078529
17.5395 44.0725 -12007.0727300498
17.5395 46.665 -12599.8228078529
17.5395 49.2575 -12007.0727300498
19.134 0 -12993.3026995232
19.134 2.5925 -12299.4212255943
19.134 5.185 -12993.3026995232
19.134 7.7775 -12299.4212255943
19.134 10.37 -12993.3026995232
19.134 12.9625 -12299.4212255943
19.134 15.555 -12993.3026995232
19.134 18.1475 -12299.4212255943
19.134 20.74 -12993.3026995232
19.134 23.3325 -12299.4212255943
19.134 25.925 -12993.3026995232
19.134 28.5175 -12299.4212255943
19.134 31.11 -12993.3026995232
19.134 33.7025 -12299.4212255943
19.134 36.295 -12993.3026995232
19.134 38.8875 -12299.4212255943
19.134 41.48 -12993.3026995232
19.134 44.0725 -12299.4212255943
19.134 46.665 -12993.3026995232
19.134 49.2575 -12299.4212255943
20.7285 0 -12599.8228078529
20.7285 2.5925 -12007.0727300498
20.7285 5.185 -12599.8228078529
20.7285 7.7775 -12007.0727300498
20.7285 10.37 -12599.8228078529
20.7285 12.9625 -12007.0727300498
20.7285 15.555 -12599.8228078529
20.7285 18.1475 -12007.0727300498
20.7285 20.74 -12599.8228078529
20.7285 23.3325 -12007.0727300498
20.7285 25.925 -12599.8228078529
20.7285 28.5175 -12007.0727300498
20.7285 31.11 -12599.8228078529
20.7285 33.7025 -12007.0727300498
20.7285 36.295 -12599.8228078529
20.7285 38.8875 -12007.0727300498
20.7285 41.48 -12599.8228078529
20.7285 44.0725 -12007.0727300498
20.7285 46.665 -12599.8228078529
20.7285 49.2575 -12007.0727300498
22.323 0 -12993.3026995232
22.323 2.5925 -12299.4212255943
22.323 5.185 -12993.3026995232
22.323 7.7775 -12299.4212255943
22.323 10.37 -12993.3026995232
22.323 12.9625 -12299.4212255943
22.323 15.555 -12993.3026995232
22.323 18.1475 -12299.4212255943
22.323 20.74 -12993.3026995232
22.323 23.3325 -12299.4212255943
22.323 25.925 -12993.3026995232
22.323 28.5175 -12299.4212255943
22.323 31.11 -12993.3026995232
22.323 33.7025 -12299.4212255943
22.323 36.295 -12993.3026995232
22.323 38.8875 -12299.4212255943
22.323 41.48 -12993.3026995232
22.323 44.0725 -12299.4212255943
22.323 46.665 -12993.3026995232
22.323 49.2575 -12299.4212255943
23.9175 0 -12599.8228078529
23.9175 2.5925 -12007.0727300498
23.9175 5.185 -12599.8228078529
23.9175 7.7775 -12007.0727300498
23.9175 10.37 -12599.8228078529
23.9175 12.9625 -12007.0727300498
23.9175 15.555 -12599.8228078529
23.9175 18.1475 -12007.0727300498
23.9175 20.74 -12599.8228078529
23.9175 23.3325 -12007.0727300498
23.9175 25.925 -12599.8228078529
23.9175 28.5175 -12007.0727300498
23.9175 31.11 -12599.8228078529
23.9175 33.7025 -12007.0727300498
23.9175 36.295 -12599.8228078529
23.9175 38.8875 -12007.0727300498
23.9175 41.48 -12599.8228078529
23.9175 44.0725 -12007.0727300498
23.9175 46.665 -12599.8228078529
23.9175 49.2575 -12007.0727300498
25.512 0 -12993.3026995232
25.512 2.5925 -12299.4212255943
25.512 5.185 -12993.3026995232
25.512 7.7775 -12299.4212255943
25.512 10.37 -12993.3026995232
25.512 12.9625 -12299.4212255943
25.512 15.555 -12993.3026995232
25.512 18.1475 -12299.4212255943
25.512 20.74 -12993.3026995232
25.512 23.3325 -12299.4212255943
25.512 25.925 -12993.3026995232
25.512 28.5175 -12299.4212255943
25.512 31.11 -12993.3026995232
25.512 33.7025 -12299.4212255943
25.512 36.295 -12993.3026995232
25.512 38.8875 -12299.4212255943
25.512 41.48 -12993.3026995232
25.512 44.0725 -12299.4212255943
25.512 46.665 -12993.3026995232
25.512 49.2575 -12299.4212255943
27.1065 0 -12599.8228078529
27.1065 2.5925 -12007.0727300498
27.1065 5.185 -12599.8228078529
27.1065 7.7775 -12007.0727300498
27.1065 10.37 -12599.8228078529
27.1065 12.9625 -12007.0727300498
27.1065 15.555 -12599.8228078529
27.1065 18.1475 -12007.0727300498
27.1065 20.74 -12599.8228078529
27.1065 23.3325 -12007.0727300498
27.1065 25.925 -12599.8228078529
27.1065 28.5175 -12007.0727300498
27.1065 31.11 -12599.8228078529
27.1065 33.7025 -12007.0727300498
27.1065 36.295 -12599.8228078529
27.1065 38.8875 -12007.0727300498
27.1065 41.48 -12599.8228078529
27.1065 44.0725 -12007.0727300498
27.1065 46.665 -12599.8228078529
27.1065 49.2575 -12007.0727300498
28.701 0 -12993.3026995232
28.701 2.5925 -12299.4212255943
28.701 5.185 -12993.3026995232
28.701 7.7775 -12299.4212255943
28.701 10.37 -12993.3026995232
28.701 12.9625 -12299.4212255943
28.701 15.555 -12993.3026995232
28.701 18.1475 -12299.4212255943
28.701 20.74 -12993.3026995232
28.701 23.3325 -12299.4212255943
28.701 25.925 -12993.3026995232
28.701 28.5175 -12299.4212255943
28.701 31.11 -12993.3026995232
28.701 33.7025 -12299.4212255943
28.701 36.295 -12993.3026995232
28.701 38.8875 -12299.4212255943
28.701 41.48 -12993.3026995232
28.701 44.0725 -12299.4212255943
28.701 46.665 -12993.3026995232
28.701 49.2575 -12299.4212255943
30.2955 0 -12599.8228078529
30.2955 2.5925 -12007.0727300498
30.2955 5.185 -12599.8228078529
30.2955 7.7775 -12007.0727300498
30.2955 10.37 -12599.8228078529
30.2955 12.9625 -12007.0727300498
30.2955 15.555 -12599.8228078529
30.2955 18.1475 -12007.0727300498
30.2955 20.74 -12599.8228078529
30.2955 23.3325 -12007.0727300498
30.2955 25.925 -12599.8228078529
30.2955 28.5175 -12007.0727300498
30.2955 31.11 -12599.822807853
30.2955 33.7025 -12007.0727300498
30.2955 36.295 -12599.822807853
30.2955 38.8875 -12007.0727300498
30.2955 41.48 -12599.8228078529
30.2955 44.0725 -12007.0727300498
30.2955 46.665 -12599.8228078529
30.2955 49.2575 -12007.0727300498
